Host Since,Host Listings Count,Host Total Listings Count,Calculated host listings count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,First Review,Last Review,Reviews per Month,Review Scores Rating,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict
2016-06-12,1,1,1,40.74032236139562,-74.00264894520818,2,1,1,1,110.0,770.0,3300.0,200.0,75.0,1,0.0,8,1125,3,2016-06-30,2017-04-06,0.29,90.0,0,1,1,0,0,0,1,1,0,0
2013-08-31,1,1,1,40.74452858803597,-73.9998811278712,2,1,0,1,120.0,840.0,3600.0,120.0,75.0,1,0.0,3,1125,12,2015-09-09,2017-04-10,0.6,98.0,0,1,1,0,0,0,1,0,0,1
2010-09-15,1,1,1,40.752836564513,-74.0071511604528,2,1,1,1,199.0,1393.0,5970.0,600.0,120.0,1,25.0,6,12,14,2011-07-09,2017-04-13,0.2,97.0,0,1,1,0,0,0,1,0,0,1
2013-10-28,1,1,1,40.74461572374567,-74.00046825033714,3,1,0,1,180.0,1260.0,3400.0,0.0,0.0,1,0.0,2,1125,17,2014-09-15,2016-09-18,0.53,92.0,0,1,1,0,0,0,1,0,1,0
2014-03-10,1,1,1,40.74122935887343,-74.0026704259246,1,1,1,1,165.0,952.0,3360.0,0.0,75.0,1,75.0,1,8,35,2014-05-27,2016-03-24,0.98,96.0,0,1,0,1,0,0,1,0,0,1
2011-08-15,1,1,1,40.74634583731971,-73.99603534534842,4,1,1,2,395.0,2765.0,11850.0,0.0,0.0,1,0.0,3,1125,20,2014-12-02,2017-01-05,0.68,89.0,0,1,1,0,0,0,1,0,1,0
2014-06-05,1,1,1,40.75217260152008,-74.00459929577484,3,1,1,1,140.0,980.0,4200.0,150.0,50.0,1,0.0,2,8,1,2017-01-29,2017-01-29,0.31,100.0,0,1,1,0,0,0,1,0,0,1
2013-09-24,1,1,1,40.74999986028048,-73.997593969478,5,1,2,3,550.0,3850.0,16500.0,450.0,100.0,4,25.0,1,1125,23,2015-04-03,2017-03-26,0.9,90.0,0,1,1,0,0,0,1,0,0,1
2011-11-12,1,1,1,40.741318754242585,-73.99720824374117,2,1,1,1,249.0,1743.0,7470.0,0.0,80.0,1,0.0,3,365,30,2012-03-05,2017-02-25,0.48,99.0,0,1,1,0,0,0,1,0,1,0
2013-05-21,1,1,1,40.74562931006398,-74.00094636200772,2,1,1,1,180.0,1260.0,5400.0,250.0,80.0,1,0.0,1,1125,19,2016-02-03,2017-03-21,1.25,96.0,0,1,1,0,0,0,1,0,0,1
2010-12-30,1,1,1,40.74684397583199,-74.00205523477078,2,1,1,1,115.0,725.0,3450.0,0.0,0.0,1,30.0,2,5,31,2011-04-22,2016-09-16,0.42,96.0,0,1,0,1,0,0,1,0,0,1
2014-06-05,1,1,1,40.74583319079608,-74.00451370332213,2,1,0,1,175.0,1225.0,5250.0,100.0,50.0,1,0.0,3,14,14,2016-07-02,2016-12-19,1.37,95.0,0,1,1,0,0,0,1,0,0,1
2012-06-21,1,1,1,40.73938411948628,-74.0000162799281,5,1,2,3,450.0,3150.0,13500.0,95.0,80.0,1,0.0,3,1125,5,2016-07-20,2016-10-23,0.52,92.0,0,1,1,0,0,0,1,0,1,0
2012-08-31,3,3,3,40.75008875229646,-73.9956902563006,2,1,3,1,80.0,560.0,2400.0,0.0,60.0,1,10.0,2,1125,12,2016-01-05,2017-04-16,0.74,85.0,0,1,0,1,0,0,1,0,0,1
2012-12-17,1,1,1,40.73817639666365,-73.99769756657224,2,1,1,1,119.0,490.0,2170.0,400.0,100.0,1,20.0,2,90,40,2016-03-10,2017-04-26,2.86,95.0,0,1,1,0,0,0,1,0,0,1
2012-07-24,1,1,1,40.74630031876912,-73.9971080065102,2,1,1,1,150.0,900.0,4500.0,0.0,35.0,1,0.0,2,1125,2,2015-10-21,2015-10-25,0.11,90.0,0,1,0,1,0,0,1,0,0,1
2016-10-15,8,8,8,40.79523415930167,-73.94762486028138,1,1,1,1,35.0,245.0,1050.0,0.0,20.0,1,0.0,1,28,11,2016-11-23,2017-04-18,2.02,88.0,1,0,0,0,1,0,1,0,0,1
2014-05-15,1,1,1,40.8072102954662,-73.94047630698826,2,1,1,1,70.0,490.0,2100.0,0.0,75.0,2,75.0,3,38,24,2014-06-10,2016-08-25,0.68,92.0,0,1,0,1,0,0,1,0,1,0
2012-04-12,1,1,1,40.787696569956886,-73.94916094557846,2,1,1,1,175.0,1225.0,5250.0,0.0,15.0,1,30.0,3,1125,9,2016-08-30,2017-04-28,1.1,89.0,0,1,1,0,0,0,1,1,0,0
2015-08-24,4,4,4,40.79863205809279,-73.94198553272679,2,1,1,2,35.0,245.0,1050.0,100.0,5.0,1,50.0,2,1125,2,2017-01-22,2017-04-07,0.59,40.0,0,1,0,0,1,0,1,0,0,1
2017-01-29,1,1,1,40.7853106482842,-73.94137890423262,2,1,1,1,59.0,413.0,1770.0,150.0,35.0,1,0.0,1,30,4,2017-03-06,2017-05-01,2.03,100.0,0,1,0,1,0,0,1,0,0,1
2014-07-10,24,24,10,40.79312617468159,-73.94150632459915,2,1,1,1,100.0,700.0,1500.0,300.0,60.0,1,5.0,30,1125,1,2016-03-10,2016-03-10,0.07,100.0,0,1,0,1,0,0,1,0,0,1
