Host Since,Host Listings Count,Host Total Listings Count,Calculated host listings count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,PersonPrice,Weekly Price,Monthly Price,PerSecurity,Security Deposit,PerCleaning,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,First Review,Last Review,Reviews per Month,Review Scores Rating,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict
6/12/16,1,1,1,40.74032236,-74.00264895,2,1,1,1,110,55,770,3300,100,200,37.5,75,1,0,8,1125,3,6/30/16,4/6/17,0.29,0,0,1,1,0,0,0,1,1,0,0
8/31/13,1,1,1,40.74452859,-73.99988113,2,1,0,1,120,60,840,3600,60,120,37.5,75,1,0,3,1125,12,9/9/15,4/10/17,0.6,1,0,1,1,0,0,0,1,0,0,1
9/15/10,1,1,1,40.75283656,-74.00715116,2,1,1,1,199,99.5,1393,5970,300,600,60,120,1,25,6,12,14,7/9/11,4/13/17,0.2,1,0,1,1,0,0,0,1,0,0,1
10/28/13,1,1,1,40.74461572,-74.00046825,3,1,0,1,180,60,1260,3400,0,0,0,0,1,0,2,1125,17,9/15/14,9/18/16,0.53,0,0,1,1,0,0,0,1,0,1,0
3/10/14,1,1,1,40.74122936,-74.00267043,1,1,1,1,165,165,952,3360,0,0,75,75,1,75,1,8,35,5/27/14,3/24/16,0.98,1,0,1,0,1,0,0,1,0,0,1
8/15/11,1,1,1,40.74634584,-73.99603535,4,1,1,2,395,98.75,2765,11850,0,0,0,0,1,0,3,1125,20,12/2/14,1/5/17,0.68,0,0,1,1,0,0,0,1,0,1,0
6/5/14,1,1,1,40.7521726,-74.0045993,3,1,1,1,140,46.66666667,980,4200,50,150,16.66666667,50,1,0,2,8,1,1/29/17,1/29/17,0.31,1,0,1,1,0,0,0,1,0,0,1
9/24/13,1,1,1,40.74999986,-73.99759397,5,1,2,3,550,110,3850,16500,90,450,20,100,4,25,1,1125,23,4/3/15,3/26/17,0.9,0,0,1,1,0,0,0,1,0,0,1
11/12/11,1,1,1,40.74131875,-73.99720824,2,1,1,1,249,124.5,1743,7470,0,0,40,80,1,0,3,365,30,3/5/12,2/25/17,0.48,1,0,1,1,0,0,0,1,0,1,0
5/21/13,1,1,1,40.74562931,-74.00094636,2,1,1,1,180,90,1260,5400,125,250,40,80,1,0,1,1125,19,2/3/16,3/21/17,1.25,1,0,1,1,0,0,0,1,0,0,1
12/30/10,1,1,1,40.74684398,-74.00205523,2,1,1,1,115,57.5,725,3450,0,0,0,0,1,30,2,5,31,4/22/11,9/16/16,0.42,1,0,1,0,1,0,0,1,0,0,1
6/5/14,1,1,1,40.74583319,-74.0045137,2,1,0,1,175,87.5,1225,5250,50,100,25,50,1,0,3,14,14,7/2/16,12/19/16,1.37,0,0,1,1,0,0,0,1,0,0,1
6/21/12,1,1,1,40.73938412,-74.00001628,5,1,2,3,450,90,3150,13500,19,95,16,80,1,0,3,1125,5,7/20/16,10/23/16,0.52,0,0,1,1,0,0,0,1,0,1,0
8/31/12,3,3,3,40.75008875,-73.99569026,2,1,3,1,80,40,560,2400,0,0,30,60,1,10,2,1125,12,1/5/16,4/16/17,0.74,0,0,1,0,1,0,0,1,0,0,1
12/17/12,1,1,1,40.7381764,-73.99769757,2,1,1,1,119,59.5,490,2170,200,400,50,100,1,20,2,90,40,3/10/16,4/26/17,2.86,0,0,1,1,0,0,0,1,0,0,1
7/24/12,1,1,1,40.74630032,-73.99710801,2,1,1,1,150,75,900,4500,0,0,17.5,35,1,0,2,1125,2,10/21/15,10/25/15,0.11,0,0,1,0,1,0,0,1,0,0,1
10/15/16,8,8,8,40.79523416,-73.94762486,1,1,1,1,35,35,245,1050,0,0,20,20,1,0,1,28,11,11/23/16,4/18/17,2.02,0,1,0,0,0,1,0,1,0,0,1
5/15/14,1,1,1,40.8072103,-73.94047631,2,1,1,1,70,35,490,2100,0,0,37.5,75,2,75,3,38,24,6/10/14,8/25/16,0.68,0,0,1,0,1,0,0,1,0,1,0
4/12/12,1,1,1,40.78769657,-73.94916095,2,1,1,1,175,87.5,1225,5250,0,0,7.5,15,1,30,3,1125,9,8/30/16,4/28/17,1.1,0,0,1,1,0,0,0,1,1,0,0
8/24/15,4,4,4,40.79863206,-73.94198553,2,1,1,2,35,17.5,245,1050,50,100,2.5,5,1,50,2,1125,2,1/22/17,4/7/17,0.59,0,0,1,0,0,1,0,1,0,0,1
1/29/17,1,1,1,40.78531065,-73.9413789,2,1,1,1,59,29.5,413,1770,75,150,17.5,35,1,0,1,30,4,3/6/17,5/1/17,2.03,1,0,1,0,1,0,0,1,0,0,1
7/10/14,24,24,10,40.79312617,-73.94150632,2,1,1,1,100,50,700,1500,150,300,30,60,1,5,30,1125,1,3/10/16,3/10/16,0.07,1,0,1,0,1,0,0,1,0,0,1
7/27/14,2,2,2,40.81503471,-73.93453834,4,1,0,2,85,21.25,595,2550,0,0,4.75,19,1,18,2,80,20,10/4/16,4/16/17,2.83,0,0,1,1,0,0,0,1,0,0,1
11/24/13,1,1,1,40.79814175,-73.93929389,4,1,2,2,165,41.25,1155,4950,0,0,16.25,65,1,0,5,13,91,12/15/13,4/25/17,2.21,0,0,1,1,0,0,0,1,0,0,1
4/29/13,1,1,1,40.79997881,-73.93941127,3,1,1,2,49,16.33333333,343,2000,0,0,0,0,2,24,1,1125,146,5/8/13,4/11/17,3.01,0,0,1,0,1,0,0,1,0,0,1
5/14/12,1,1,1,40.80182877,-73.93521163,3,1,1,1,200,66.66666667,650,2000,0,0,0,0,2,100,3,1125,5,7/12/15,8/7/15,0.23,1,0,1,1,0,0,0,1,1,0,0
11/20/14,4,4,4,40.78809002,-73.94906614,2,1,1,1,90,45,630,2700,0,0,20,40,1,0,1,1125,72,6/8/16,5/2/17,6.55,0,0,1,0,1,0,0,1,0,0,1
9/26/16,2,2,1,40.79616993,-73.93249438,2,1,1,1,70,35,490,2100,50,100,22.5,45,2,20,3,20,3,10/19/16,5/2/17,0.46,0,0,1,0,1,0,0,1,0,0,1
4/20/14,1,1,1,40.78977614,-73.94808091,2,1,1,1,220,110,1540,4800,0,0,0,0,1,0,4,1125,1,9/20/15,9/20/15,0.05,0,0,1,1,0,0,0,1,0,1,0
11/2/14,3,3,3,40.79289752,-73.94124668,2,1,1,1,75,37.5,525,1350,0,0,12.5,25,1,8,25,365,18,9/15/15,6/13/16,0.9,0,0,1,0,1,0,0,1,0,1,0
1/25/17,1,1,1,40.79659035,-73.9478052,2,1,1,1,68,34,476,2040,0,0,0,0,1,0,1,40,2,2/11/17,2/23/17,0.73,1,0,1,0,1,0,0,1,1,0,0
4/13/16,1,1,1,40.71403535,-73.99339594,5,1,2,4,188,37.6,1316,5640,39.8,199,11.8,59,4,20,1,1125,66,4/29/16,4/30/17,5.35,0,0,1,1,0,0,0,1,0,0,1
10/13/10,2,2,2,40.71362621,-73.99070202,2,1,1,1,120,60,840,3600,0,0,4,8,1,0,1,200,70,2/10/16,4/6/17,4.68,0,0,1,1,0,0,0,1,0,0,1
10/16/12,1,1,1,40.71714154,-73.99138918,2,1,0,1,189,94.5,1323,5670,125,250,17.5,35,1,0,2,1125,139,9/23/13,4/19/17,3.16,0,0,1,1,0,0,0,1,0,0,1
7/24/14,2,2,2,40.71707339,-73.99065511,1,1,1,1,99,99,693,2970,0,0,20,20,1,0,3,5,1,10/12/15,10/12/15,0.05,1,0,1,0,1,0,0,1,1,0,0
3/11/13,1,1,1,40.71432509,-73.99028078,2,1,1,1,110,55,725,3000,0,0,17.5,35,1,0,5,1125,3,3/17/16,7/18/16,0.22,0,0,1,1,0,0,1,0,0,0,1
6/30/13,2,2,2,40.71398952,-73.9970718,5,1,2,3,500,100,3500,15000,0,0,20,100,1,50,2,1125,15,5/25/15,10/26/16,0.63,0,0,1,1,0,0,0,1,0,0,1
10/30/15,1,1,1,40.71410786,-73.99900221,2,1,1,1,98,49,686,2940,0,0,0,0,1,20,2,1125,10,6/20/16,11/26/16,0.94,0,0,1,0,1,0,0,1,0,0,1
4/30/12,1,1,1,40.7159304,-73.99030592,2,1,1,1,150,75,1050,4500,0,0,50,100,2,50,2,30,8,10/12/15,1/2/17,0.42,1,0,1,1,0,0,0,1,0,0,1
4/5/12,1,1,1,40.71633888,-73.9903063,4,2,1,2,399,99.75,800,3000,0,0,15,60,4,50,2,10,2,6/22/16,9/19/16,0.19,1,0,1,0,1,0,0,1,0,0,1
12/5/16,1,1,1,40.71621986,-73.99122971,1,1,1,1,90,90,630,2700,500,500,35,35,1,0,2,1065,4,12/19/16,3/8/17,0.88,0,0,1,0,1,0,0,1,1,0,0
10/5/15,1,1,1,40.71692474,-73.99455233,2,1,1,1,100,50,700,3000,0,0,0,0,1,0,7,1125,3,11/3/15,6/9/16,0.16,0,0,1,1,0,0,0,1,0,0,1
11/21/15,1,1,1,40.7136541,-73.99091122,2,1,0,1,120,60,840,3600,0,0,37.5,75,1,0,7,1125,1,1/5/16,1/5/16,0.06,0,0,1,1,0,0,0,1,1,0,0
6/29/16,1,1,1,40.72211074,-73.98458674,1,1,1,1,80,80,560,2400,300,300,35,35,1,0,1,1125,2,7/16/16,7/31/16,0.21,1,0,1,0,1,0,0,1,1,0,0
6/4/15,1,1,1,40.72354468,-73.98189955,2,1,1,1,108,54,756,3240,0,0,0,0,2,0,2,1125,17,6/23/15,8/1/16,0.75,0,0,1,0,1,0,0,1,0,1,0
7/2/09,2,2,2,40.72480817,-73.98056525,6,1,3,4,375,62.5,2625,5500,83.33333333,500,20,120,4,35,3,40,10,8/19/11,1/2/16,0.14,1,0,1,1,0,0,0,1,0,0,1
5/12/12,1,1,1,40.72843493,-73.97871862,2,1,1,1,195,97.5,1365,5850,100,200,54,108,2,45,2,14,3,5/22/15,10/12/15,0.13,0,0,1,1,0,0,0,1,0,0,1
8/13/12,1,1,1,40.72582131,-73.97752866,2,1,0,2,150,75,900,4500,0,0,12.5,25,1,0,2,1125,10,6/16/15,8/29/16,0.44,0,0,1,1,0,0,0,1,1,0,0
6/19/15,1,1,1,40.72714196,-73.97893629,1,1,1,1,100,100,600,1500,0,0,0,0,1,0,1,1125,1,11/18/15,11/18/15,0.06,1,0,1,0,1,0,0,1,1,0,0
1/30/13,4,4,3,40.73200144,-73.98747266,2,1,1,1,120,60,840,3000,0,0,0,0,1,25,7,1125,2,4/6/15,9/27/15,0.08,1,0,1,0,1,0,0,1,0,1,0
12/20/13,1,1,1,40.72420384,-73.99114407,1,2,1,1,105,105,735,3150,0,0,100,100,1,0,1,60,10,7/21/16,4/16/17,1.05,1,0,1,0,1,0,0,1,0,0,1
5/3/15,1,1,1,40.7244129,-73.99221628,7,1,2,3,250,35.71428571,1750,7500,42.57142857,298,4.857142857,34,4,38,1,1125,21,2/3/17,4/30/17,7,0,0,1,1,0,0,0,1,0,0,1
4/17/15,4,4,3,40.72430833,-73.98699488,4,1,1,2,280,70,1960,6000,125,500,25,100,2,40,2,1125,14,8/25/15,2/23/17,0.68,0,0,1,1,0,0,0,1,0,0,1
7/13/15,1,1,1,40.72612248,-73.99043465,1,1,1,1,110,110,770,3300,100,100,20,20,1,0,3,15,47,10/10/15,4/23/17,2.47,1,0,1,0,1,0,0,1,0,1,0
5/8/13,1,1,1,40.73395202,-73.98967743,3,1,2,2,299,99.66666667,2093,12000,0,0,33.33333333,100,1,0,4,1125,3,8/31/13,1/7/16,0.07,1,0,1,1,0,0,0,1,1,0,0
