Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,PersonPrice,Security Deposit,Cleaning Fee,Number of Reviews,Reviews per Month,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict,Review Scores Rating
40.74032236,-74.00264895,2,1,1,1,55,200,75,3,0.29,0,1,1,0,0,0,1,1,0,0,0
40.74452859,-73.99988113,2,1,0,1,60,120,75,12,0.6,0,1,1,0,0,0,1,0,0,1,1
40.75283656,-74.00715116,2,1,1,1,99.5,600,120,14,0.2,0,1,1,0,0,0,1,0,0,1,1
40.74461572,-74.00046825,3,1,0,1,60,0,0,17,0.53,0,1,1,0,0,0,1,0,1,0,0
40.74122936,-74.00267043,1,1,1,1,165,0,75,35,0.98,0,1,0,1,0,0,1,0,0,1,1
40.74634584,-73.99603535,4,1,1,2,98.75,0,0,20,0.68,0,1,1,0,0,0,1,0,1,0,0
40.7521726,-74.0045993,3,1,1,1,46.66666667,150,50,1,0.31,0,1,1,0,0,0,1,0,0,1,1
40.74999986,-73.99759397,5,1,2,3,110,450,100,23,0.9,0,1,1,0,0,0,1,0,0,1,0
40.74131875,-73.99720824,2,1,1,1,124.5,0,80,30,0.48,0,1,1,0,0,0,1,0,1,0,1
40.74562931,-74.00094636,2,1,1,1,90,250,80,19,1.25,0,1,1,0,0,0,1,0,0,1,1
40.74684398,-74.00205523,2,1,1,1,57.5,0,0,31,0.42,0,1,0,1,0,0,1,0,0,1,1
40.74583319,-74.0045137,2,1,0,1,87.5,100,50,14,1.37,0,1,1,0,0,0,1,0,0,1,0
40.73938412,-74.00001628,5,1,2,3,90,95,80,5,0.52,0,1,1,0,0,0,1,0,1,0,0
40.75008875,-73.99569026,2,1,3,1,40,0,60,12,0.74,0,1,0,1,0,0,1,0,0,1,0
40.7381764,-73.99769757,2,1,1,1,59.5,400,100,40,2.86,0,1,1,0,0,0,1,0,0,1,0
40.74630032,-73.99710801,2,1,1,1,75,0,35,2,0.11,0,1,0,1,0,0,1,0,0,1,0
40.79523416,-73.94762486,1,1,1,1,35,0,20,11,2.02,1,0,0,0,1,0,1,0,0,1,0
40.8072103,-73.94047631,2,1,1,1,35,0,75,24,0.68,0,1,0,1,0,0,1,0,1,0,0
40.78769657,-73.94916095,2,1,1,1,87.5,0,15,9,1.1,0,1,1,0,0,0,1,1,0,0,0
40.79863206,-73.94198553,2,1,1,2,17.5,100,5,2,0.59,0,1,0,0,1,0,1,0,0,1,0
